sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.6129;9.5001;3.6774;0.5906;9.6197;3.4961;0.0223;-0.1196;0.1813;-17.7;-294.2;-1017.7;350.46;-69.83;-9.03;;30.569;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;59;2014-11-08 13:53:58:448
0.3065;9.1936;4.4436;0.2285;9.2844;4.432;0.078;-0.0908;0.0116;-19.2;-294.2;-1019.9;355.64;-65.72;-4.52;;38.636;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;560;2014-11-08 13:53:58:949
-0.1532;9.6533;3.5242;0.0993;9.2375;4.647;-0.2525;0.4158;-1.1228;-17.1;-295.0;-1019.9;359.65;-63.29;-1.22;;39.046;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;1060;2014-11-08 13:53:59:449
-1.5323;9.6533;4.9033;-0.549;9.5454;2.729;-0.9832;0.1079;2.1743;-1.6;-293.1;-1023.6;13.03;-73.74;11.38;;31.037;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;1560;2014-11-08 13:53:59:949
0.0;9.6533;4.5968;-1.9391;9.3678;5.2574;1.3261;-0.0209;0.412;2.2;-289.5;-1030.8;25.1;-64.42;20.02;;32.274;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;2064;2014-11-08 13:54:00:453
1.0726;8.121;5.8226;0.1749;8.3958;5.1178;0.8977;-0.2748;0.2452;-3.6;-291.7;-1035.7;357.55;-58.62;-1.96;;32.614;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;2564;2014-11-08 13:54:00:953
1.992;8.7339;5.5162;1.4082;8.5373;5.5299;0.5838;0.1966;-0.0137;-6.0;-293.9;-1033.5;339.61;-56.24;-14.29;;30.555;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;3064;2014-11-08 13:54:01:453
2.6049;8.7339;3.371;2.1924;8.5379;5.0468;0.4125;0.1961;-1.6758;-10.1;-296.0;-1031.3;332.47;-58.34;-20.36;;30.281;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;3564;2014-11-08 13:54:01:953
2.1452;7.8146;6.8952;2.2212;8.9065;4.1904;-0.076;-1.092;2.7048;-12.3;-296.6;-1032.1;324.8;-61.96;-27.93;;29.723;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;4064;2014-11-08 13:54:02:453
1.992;7.6614;6.4355;2.5774;7.9243;6.6819;-0.5854;-0.2629;-0.2464;-18.7;-297.3;-1030.5;327.3;-48.96;-20.61;;29.501;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;4612;2014-11-08 13:54:03:001
1.2258;8.121;6.1291;1.69;7.3722;7.1282;-0.4642;0.7489;-0.9991;-17.4;-297.7;-1031.6;333.45;-48.89;-16.42;;29.401;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;5112;2014-11-08 13:54:03:501
1.5323;7.5081;6.4355;1.5481;8.0864;6.453;-0.0158;-0.5783;-0.0175;-16.2;-297.9;-1031.7;339.1;-50.63;-13.49;;30.194;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;5612;2014-11-08 13:54:04:001
2.2984;7.8146;5.9759;2.0401;7.7121;6.6628;0.2583;0.1024;-0.687;-15.7;-297.9;-1031.2;334.15;-48.05;-15.65;;29.631;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;6112;2014-11-08 13:54:04:501
2.2984;8.2743;6.5888;1.869;8.2658;5.8971;0.4294;0.0085;0.6916;-19.2;-297.9;-1027.6;331.61;-52.32;-19.17;;29.51;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;6613;2014-11-08 13:54:05:002
1.5323;7.9678;6.2823;1.8713;8.1553;5.953;0.2739;0.2722;0.0228;-20.6;-298.1;-1028.0;334.41;-51.22;-16.91;;33.781;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;7113;2014-11-08 13:54:05:502
2.1452;8.121;6.5888;1.4764;7.9293;6.4319;0.6688;0.1917;0.1569;-20.4;-298.1;-1027.8;340.95;-52.03;-12.93;;40.971;19.519264;-96.914856;;;87.09678;91.4;80.0;3.0;7613;2014-11-08 13:54:06:002
